cellphone_id,brand,model,operating system,user_id,age,gender,occupation,user_id,cellphone_id,rating
0,Apple,iPhone SE (2022),iOS,0,38,Female,Data analyst,0,30,1
1,Apple,iPhone 13 Mini,iOS,1,40,Female,team worker in it,0,5,3
2,Apple,iPhone 13,iOS,6,55,Female,IT,0,10,9
3,Apple,iPhone 13 Pro,iOS,8,25,Female,Manager,0,9,3
4,Apple,iPhone 13 Pro Max,iOS,10,23,Male,worker,0,23,2
5,Apple,iPhone XR,iOS,12,28,Female,Accountant,0,8,2
6,Asus,Zenfone 8,Android,16,31,Female,sales,0,22,1
7,Samsung,Galaxy A13,Android,24,57,Female,it,0,16,2
8,Samsung,Galaxy A32,Android,25,27,Female,Team leader,0,19,1
9,Samsung,Galaxy A53,Android,26,28,Female,FINANCE,0,3,10
10,Samsung,Galaxy S22,Android,27,29,Female,Finance,1,7,8
11,Samsung,Galaxy S22 Plus,Android,28,33,Female,Sales,1,31,7
12,Samsung,Galaxy S22 Ultra,Android,29,61,Female,Ops Manager,1,18,5
13,Samsung,Galaxy Z Flip 3,Android,30,34,Male,ICT Officer,1,3,10
14,Samsung,Galaxy Z Fold 3,Android,32,39,Male,QA Software Manager,1,32,6
15,Google,Pixel 6  ,Android,33,30,Female,Healthcare,1,28,8
16,Google,Pixel 6a,Android,35,41,Male,self employed,1,16,7
17,Google,Pixel 6 Pro ,Android,36,42,Male,banking,1,15,8
18,OnePlus,Nord N20,Android,37,34,Female,nurse,1,4,7
19,OnePlus,Nord 2T,Android,38,42,Male,executive,1,8,8
20,OnePlus,10 Pro,Android,52,25,Male,software developer,6,13,5
21,OnePlus,10T,Android,56,50,Female,manager,6,31,6
22,Oppo,Find X5 Pro,Android,60,48,Male,IT,6,23,8
23,Vivo,X80 Pro,Android,74,25,Male,Manager,6,1,2
24,Xiaomi,Redmi Note 11,Android,79,25,Male,Manager,6,8,7
25,Xiaomi,11T Pro,Android,80,25,Male,worker,6,19,1
26,Xiaomi,12 Pro,Android,84,33,Male,Warehousing,6,32,10
27,Xiaomi,Poco F4,Android,85,33,Female,Sales,6,7,9
28,Sony,Xperia Pro,Android,91,34,Male,WEB DESIGN,6,27,4
29,Motorola,Moto G Stylus (2022),Android,95,28,Male,Information Technology,6,16,3
30,Motorola,Moto G Play (2021),Android,98,25,Female,Technical Engineer,8,29,6
31,Motorola,Moto G Pure,Android,99,30,Male,information,8,22,9
32,Motorola,Moto G Power (2022),Android,100,43,Female,IT,8,32,9
